Brand,Product,Norm_Product,Review,Rating,Date,Source
GIGABYTE,RTX5070Ti|OC GAMING,RTX 5070 Ti,"Incredible quality build. The price of this graphic card is 300 or 400 USD lower than 5080 and it’s almost the same performance with equal memory GBs. This model is huge, so make sure that you have good space in your case. It is silent, pretty beauty and its cooling is really well designed. I have the “silent mode” on (which turns off the fans when the usage is not increasing the temperature that much) and it actually performs perfectly. I have used other brands (e.g. ASUS TUF and MSI Gaming Trio) for prior RTX gpus and I can tell you it’s completely reaching the same level or even higher.",5,"September 15, 2025",Amazon
GIGABYTE,RTX5070Ti|OC GAMING,RTX 5070 Ti,"I ended up purchasing a 4k ultra wide monitor recently and use it with a 2 monitor setup. Both running 240 hz at all times. When I made the switch I realized my old card ( RTX4070 )couldn’t handle what was basically 3 monitors running 4k 240 hz and my frames dropped significantly. ( -60 fps ) after switching to the 5070 ti I have gained a significant amount of frames. Everything looks better as I can have much higher quality settings in my games. And even games that don’t take advantage of the AI features with the new DLSS - for example Helldivers 2 runs way better at around 120-160 fps depending on the area you are in. The Nvidia software makes it super easy to mess with fan settings if you are into that and has their own way to overclock it automatically based on your computers needs. All graphics cards are expensive right now but this one I would say is worth the money. My brother ended up buying the 5090 and while his frame rates are obviously better it’s not by a crazy amount maybe 30-50 frames difference depending on the game and quality settings. For a fraction of the price of a 5090 you get nearly the performance and that’s a win. Also the thing is huge and heavy. It feels like you are holding something powerful when you are installing it, like putting an aftermarket exhaust on your car.",5,"August 14, 2025",Amazon
GIGABYTE,RTX5070Ti|OC GAMING,RTX 5070 Ti,Good card but is it too much to ask to throw in a 12VHPWR cable instead of this stupid mess of a 16 pin daisy chain adapter?,3,"October 4, 2025",Amazon
GIGABYTE,RTX5070Ti|OC GAMING,RTX 5070 Ti,Are you kidding me? DP ports are WAAAYYYY too close together...you can't get 3 quality DP cables plugged in side by side by side. This is terrible planning for the $$$$ of a card.,3,"October 18, 2025",Amazon
GIGABYTE,RTX5070Ti|OC GAMING,RTX 5070 Ti," The RX 9070 XT now performs 7-9% better than the RTX 5070 ti while easily being $100 cheaper if not more because NVIDIA can’t be asked to make decent drivers! Original: Horrible value for the money, crazy that it costs $969 when Amazon was selling ASUS’s top TUF model for $1099 (just a dual slot card unlike this one from gigabyte). Make it make sense NVIDIA & Amazon! Buy AMD because they at least try to act like they care about gamers. My card did have a little excess of gigabytes thermal gel, but not enough to drip (yet). Also it comes with a 4 year warranty instead of the standard 3. So probably a decent deal for what it is IF you can get it in the $800 range.
Now about NVIDIA- this probably the most crashing & instability I’ve seen so far from a NVIDIA GPU. Probably 90% driver issues considering NVIDIA is possessed by the lure of AI & one poor software engineer is left to make functional drivers by made-up deadlines. Absolutely zero reason to support NVIDIA & their behavior especially when they are buying reviews from major publications. NVIDIA has only been giving access to drivers ahead of their launch if you accept their money & testing program to only test very specific games at very specific settings to further support their outrageous marketing claims. Whoever is running NVIDIA marketing has completely ruined any remaining trust individual customers had in them. They only care about their big money enterprise deals, NVIDIA has gone the same route as Apple in terms of corporate authoritarianism.",1,"April 28, 2025",Amazon
ASUS,ROG-STRIX-RTX4080-O16G-GAMING,RTX 4080,"Pros: I have the white Asus ROG Strix 3080 and I thought that was and is a very beautiful card but then I got this one and now I am torn as to which is more beautiful.
When I first got this it was running a good 20 degrees cooler than my 3080Ti playing the same game. I am only playing at 1440p and haven't really pushed it but I have no doubt it will crush any game I throw at it.
Fits fine in my Lian Li 011 EVO in the vertical position using the Lian Li vertical mount but I saw that it may not fit in the true vertical in the side of the case though I haven't tried it yet..
I bought an extension cable that plugs directly into my power supply so I didn't have to use the ugly mess of the black adapter that comes with it.
I did use a GPU brace and I suggest everyone do the same as this is a massive and heavy card.

Cons: After running it for some time now the cooling ability seems to have decreased but is still 10 degrees cooler than my 3080Ti. I am hoping it will not degrade much further.
You will need a case large enough to for it to fit and some kind of brace but that is a known and not really a con.
I sometimes wish the fans were illuminated.

Overall Review: I was going to skip this generation when I heard they weren't going to make a white card but bought this one as soon as I saw it and I am not disappointed.
I do wish it cost less because of course I do.
I would highly recommend this card if you can afford it and it is something you want.
My experience with it is still limited but I am very happy with my purchase.
I would keep a close eye on temps to see if they keep increasing with use.
You may also find it difficult not to stare at it.",5,3/6/2023,Newegg
ASUS,ROG-STRIX-RTX4080-O16G-GAMING,RTX 4080,"Overall Review: I recently upgraded from an MSI Gaming Trio 3080 12gb to the Asus Rog Strix 4080. It's early on but the 4080 is a noticeable upgrade overall. I've seen much improved rendering times in Davinci and the gaming performance is excellent. The installation was seamless and (as expected) has performed without issues over many hours of continuous use.

The build quality has a solid high end feel with metal throughout. Fine 3d machined details and dark metallic gray finish sets this card apart from other versions. A couple splashes of color look nice against the monochrome finish on the fan side. However, they are barely visible when the card is conventionally installed if it's not your thing.

The RGB lighting adds to the 4080's presence in the case without being overbearing. The unique ring of lighting at the end of the card and the overall esthetics remind me of something from Tron. That's a good thing.

This is a massive and impressive looking beast in person. Too large for my compact NZXT h510 Elite. I had to upgrade to a Corsair D5000 Airflow case, which allows it to fit comfortably.

I recommend getting an ATX 3.0 PSU for this card if you want to reduce your cable count. You can use the included three headed extension but the ATX 3.0 allows you to use a cable with a single connection on each side. One end goes to the new 12VHPWR connector on the PSU side instead of three pcie cords.

Long story short, I highly recommend the ROG Strix 4080 of you desire the next level of performance. As a gaming and video editing guy, I couldn't be more pleased. It not only has amazing performance but looks the part as well.",5,12/11/2022,Newegg
ASUS,ROG-STRIX-RTX4080-O16G-GAMING,RTX 4080,"Card performed well in tasks from 1080p and 1440p resolutions.
Fan operation Silent
Cool Temps while playing the latest AAA games
Good for general application use

Cons: Coil whine. At full load this thing whines non-stop and almost sounded like a zapper (if paying any game, despite capping frames, etc. Not as bad as when it was idle but still present.

Overall Review: My first time picking up a 4000 series card (coming from 1060) and I liked the overall performance the card provided from what I saw and the design. Despite the positive performance of the card, the coil whine is by far the most annoying thing I have ever heard. Maybe my card was unfortunate to have it, but still it was annoying to deal with with a silent based build. Currently in process of return for a replacement in which I am hoping the replacement card will be better. For a 1200 plus tax card, should not have to deal with any coil whine with all of the parts being paired with the GPU",3,4/3/2023,Newegg
ASUS,ROG-STRIX-RTX4080-O16G-GAMING,RTX 4080,"Pros: * Temps stay below 60C with hotspots below 70C
* Overclocks to just over 3 GHz
* Looks better in person than in pictures

Cons: * Coil whine, coil whine, coil whine. It is very loud.
* It's a giant cooler that will barely fit any cases. Even in my open-air Thermaltake Core P3, the vertical mounting of the GPU is 1.5 inches away from the glass.
* Could only get a stable overclock of +4% fps at 3000 to 3045 MHz

Overall Review: Overall it works very well since it is the 4080 after all. I use it with a 5800X3D and QHD 240hz monitor. It is far over priced, though, has high coil whine, and doesn't have significant overclocking headroom of 7-10%. Just go for the FE or cheaper variants than the strix.


",3,11/30/2022,Newegg
ASUS,ROG-STRIX-RTX4080-O16G-GAMING,RTX 4080,"Pros: - Looks amazing.
- Compact, relative to the 4000 series GPU's. It's still HUGE.

Cons: - Loud.
- Bigger than it seems.
- Erratic fan control.
- High pitched fan noise profile.
- No bios switch, ie software required for many features.
- Premium price despite tiny OC.

Overall Review: This is the 3rd time I've tried reviewing this GPU, but Newegg continuously refuses to approve any of them. So if you're seeing this version, be aware I seemingly had to tone my review down to get it approved, at least hopefully.

That aside, my whole reason for trying to review this GPU so many times is simple. There are alternatives people interesting in this card for it's appearance may be overlooking due to the extra performance a 4080 potentially has. The problem is that while compact coolers are entirely possible with the 40 series GPU's, Asus hasn't succeeded. The cooler simply can't keep up in heavier loads, causing the fans to far outpace the advertised fan noise levels and in a very grating high pitched way.

While I can't say for sure that the other Asus cards available with this cooler would perform better, a lower TGP card logically outputs less heat and thus should run cooler and quieter. Plus the 4070 Ti, 4070, or 4060 versions are substantially cheaper. But if the 4080 performance is key to your applications, this specific version still doesn't make much sense.

This is the so called ""OC"" variant, which just means it comes factory ""overclocked"", but otherwise is just a 2nd higher priced SKU of a the non-OC 4080 variant of this GPU. Usually that higher price is easy to justify for people that don't want to overclock a card themselves, and it's especially easy to quantify as a simple dollar:clock ratio. For the ProArt 4080 OC, Asus just threw their typical dollar:clock ratio out the window. So really the best option if you need a 4080 and want it in the same style - just get the non-OC version. You'll be able to achieve the factory OC this card has with ease, you just have to do it in their software or one of the many alternatives.

That brings me to probably my biggest annoyance with this cards though, and it technically applies to every card currently in the ProArt line. The card is hampered if you don't or can't use the Asus software to control it. There's no physical BIOS button to change profiles despite the advertising slyly showing an OC and default mode multiple places. Everything has to be handled through their software. So if you can't use it, you only get the profile that comes pre-loaded on the card. But I'm still not completely sure how the profiles work with this card, so if I say much more it starts to be me just speculating. What's important is that Asus did something different here, and it makes adjusting settings for the GPU extremely difficult on a lot of systems.

So ultimately, would I recommend this card to anyone?
Yes and No.
Yes for how it looks, for the aesthetics, and for very specific situations where the fans won't be heard but the system may still be seen.

No, and double no, because there are better options.
Options that look identical, because they actually are as far as the cooler goes.
And no because the premium this card asks could instead be used to make your computer stronger elsewhere, or just be saved for your next upgrade.

There's no denying the ProArt GPU's look great. I absolutely loved it from that point of view. But practicality wise? I couldn't deal with the fans being so erratic, spinning to 60-80% regularly, not having a BIOS switch, all for that price...


",1,10/13/2023,Newegg
